,FFT0,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12
74,180942.58547000313,113482.85467213848,153625.53418793486,253753.77996924054,166810.0043116196,59011.08443152474,195485.90437806927,199634.05838777247,85906.09621634804,203300.7454762278,156601.02529409685,127495.5968612602,191020.00509000348
75,235039.78911597753,27616.981803590214,211799.0112623876,27656.871935888936,213601.3292147339,56397.146503835465,144027.7382075696,217066.1610849176,268636.981878759,139937.33322275555,118386.07496148963,85120.2204515239,228198.1217386278
76,60259.262249837346,134009.58300832115,103527.18167986782,111914.61367638856,100187.8736866311,82434.31658842486,212517.22366534715,127612.54280219557,125789.06474412107,104304.8724636918,48880.71071868718,157572.4293157997,169729.19462806624
77,130374.07416574923,91269.37006328019,124441.11275280626,46800.17804842749,95752.54231438652,116021.78878820005,99740.72504871785,80005.87573250945,65306.62013478519,152207.95943495492,234983.9882867904,31269.59321648316,99012.49787563599
78,52579.10805642645,154548.3714951266,92209.07454793726,171225.62154810256,174613.57605249164,185218.46209341203,153553.6519757633,150319.20206040159,202859.0783832839,55284.64329929455,57320.42098153054,90439.99888176087,125732.28587199324
79,119119.79738432977,98762.64271949297,121499.9985176945,125710.60591427461,60997.15674557319,81475.41515837461,162100.39457719983,102746.43367021589,148884.2148135457,131143.01117637396,42811.32462879547,51242.542832571664,88211.52275216398
80,140164.12372403019,124039.87484481683,112837.86584110324,51026.87713543422,39852.845752849345,42851.16357069232,36337.091978712175,50611.64935275169,102382.05425373052,231641.9231889763,113471.73369730536,169692.64255062115,46064.19597114553
81,198117.01031000935,303501.9949084926,106089.192184769,100494.972141523,85331.11687566098,89119.83834321945,172234.32257243214,122312.69944552956,58040.36671373751,79099.47260546757,98894.11469777541,65403.61234903198,135278.45625660138
82,30599.21740001414,52419.85202960917,188893.30020417602,69185.99250351657,170571.83543203847,171910.79143205346,146696.12955208245,267784.14572538406,111581.97173840407,111374.65990722681,182780.4305978165,85713.33337297085,138776.9856474165
83,103311.17010602485,179450.68741004917,167699.1772481909,171076.9135143772,271460.72149893775,109060.93831193453,226417.14672337633,129124.65905488869,152686.50205494434,11635.510931366649,267131.97475151485,113448.97837216336,91068.2120932983
84,80470.02680923126,100996.24791318503,167809.37447131448,67569.51610119967,206331.65087360787,113216.29413252628,99883.97627978926,54254.21085777248,43445.31420983434,125958.00490532802,155342.7385414654,156822.12954409875,81545.45776469869
85,79156.55277492382,178475.60211738045,316447.0770468026,214736.44568597962,90122.44266071217,134958.8246762439,96259.3141326503,106826.21569192158,88382.88662762071,186152.30395934472,199364.5136816888,108880.5821940133,117065.64454837792
86,359805.88325492735,93044.25619607054,59032.69640034151,51466.59346406161,50370.24550314057,199835.77666705288,151107.0778991469,35892.42481849597,65420.0089148596,98255.20705430339,65234.9264906093,139640.5662532653,92440.91127981128
87,41449.687976931724,109052.26633610066,77987.0785883069,60068.225810124735,180428.6224997377,39928.73725238238,139635.72423481543,128221.07438053266,120792.64108146654,41620.368355629005,270727.10432635614,97976.35806611816,22368.03142172026
88,137697.30457179982,141096.93859011037,100371.42704344666,47478.81444334347,101333.41142710423,45315.22354318922,91149.00142888603,69581.8805679165,138590.20689231835,193474.49475024123,179282.3517465955,90992.07168352664,85968.10587284643
89,165429.08149598006,41091.45981771191,103753.31466081276,41898.72373875864,105693.36695851154,124492.90358729434,164735.110089663,67057.86194655212,23534.17981545002,45261.10074192449,129776.0561683203,181984.53510793936,149856.56535387592
90,33492.73064777286,96323.84748296536,55147.653282322695,27144.90251978802,73074.9070862194,71983.16598457826,60252.33713835187,127307.17832380068,92269.75783732008,63468.679827159314,212242.5259586769,141970.48925146222,136626.0417957294
91,170882.10359274925,83464.58011317297,192726.310861268,174213.89744890167,22568.86098698965,100307.67743131304,275355.7005320494,186400.39316717206,90652.9639107932,135511.09579578368,176402.71177623258,158479.16837850364,109428.33930695213
92,161064.65178334017,160345.66446152833,103957.21746468123,22948.491032086164,78157.58538385732,216575.62354140112,114771.51533326639,159094.76831528108,47721.17524400964,200840.21716610267,125138.44354604876,140216.77009072588,76870.82230429904
93,152237.11341383346,117844.27336016843,201868.17280537522,128734.71540922942,132115.62095081818,245993.41814631256,25722.72325482981,133099.1379944102,81998.48269826893,56840.89963965489,208331.0522051413,142759.0897524643,82523.06609423162
94,155685.07031677614,68445.1848509426,60170.83312342816,61745.284312010495,176387.41524778528,98317.31338245154,109038.44816910887,238392.4956488662,249559.01184164154,270027.0900920206,61711.93697985109,222978.15568300907,13763.497551794608
95,56424.931520131846,74662.892369266,123136.575105333,114535.10765677644,45342.174130758205,256648.86840808994,113572.48076459536,12070.578539917678,110056.98450232465,48175.108935245975,206100.0332969724,75400.14772886224,135284.93445186145
96,31965.751990236633,95593.08253458832,126627.8247481266,240517.66358133787,109066.73162535216,256753.35308713923,96249.79780907083,76297.7463456563,198884.94706972194,91409.62896838982,100932.1829216548,174992.01209506614,132002.05446009527
97,217760.6071559518,194914.5436586657,110099.72839748897,61672.52403337475,180690.56064703656,283034.57217129215,17630.424101350225,332279.8063764344,168120.05216279643,100135.83883590532,321385.2487230355,76052.06338166105,82616.66261519524
98,62350.78577739009,271102.79101219715,68151.46182550804,58040.10673712766,165656.25664864722,99346.3666390922,77890.43943639191,75145.60473912672,151832.3612026793,105572.49973142751,54384.02088511648,7005.5211300290675,120478.71840434143
99,117838.8570601881,165660.25151864116,189321.37360261977,113506.37689016126,215320.1645362283,76980.49457302314,58984.70675243895,84273.03380610824,105015.4676049699,82367.31666847372,128401.85522089966,135123.4771268891,94474.89387783282
