,TTF0,TTF1,TTF2
426,202811.27297665263,330303.1657024374,169834.31848487438
427,208705.97920937158,176909.10685201318,317333.34250535164
428,91312.1347287865,264075.8228578275,199369.94736792968
429,384722.7361119476,109537.62064058449,201189.0823559034
430,303717.16134824965,212227.2296383186,315600.09213644743
431,216395.08656829814,99114.68522200882,277622.7282970796
432,153358.92919038338,159678.93828782768,198534.0297787814
433,363203.516220059,131299.37231454928,174079.1262666291
434,138409.94016063033,197761.2357624572,404534.04731957434
435,232189.59484138072,216113.47090994916,364436.00633795024
436,253238.80883976232,225834.55083259026,379835.2394090556
437,281410.9283058446,316774.124545382,176111.28443540266
438,250986.71014019212,132254.60947067576,375829.2963019377
439,128821.24799969631,111571.64341087476,210456.5296175778
440,161588.28572350717,254137.25236839554,268958.4992276233
441,292377.6857349261,371051.245090244,129382.17670676546
442,159654.5741777283,166016.15054250762,212026.18593736846
443,91604.24317044427,567053.4617462239,340704.4398368261
444,182651.96468824137,281042.0699631254,208775.2274380655
445,91223.08219940012,206349.4324286084,211761.81377870767
446,204147.3135784082,340478.90618356207,243780.47023453904
447,355919.08674418635,245197.5804883963,248417.56190230526
448,228912.68767214057,318144.9206653828,233053.33364232857
449,498980.15087016294,159056.4449433328,174293.8267589726
450,160934.04722753327,179227.68543495156,192797.64882517146
451,233536.35338956933,204091.12779035393,242514.62976834847
452,97199.37774905951,259692.0976347466,176794.6684982999
453,193969.7901616689,223419.23901176866,327110.8637489386
454,155271.38239832834,189738.66736268433,232471.97790264527
455,127435.75197935093,83358.87126069644,274997.8723832577
456,321057.2497490205,357290.3688067226,153352.82465144867
457,102911.62639923906,300082.0175238069,164772.03808247746
458,233725.19177088502,338038.1632441238,156592.83996521222
459,115590.54447130507,236958.7033706915,217661.5202479213
460,129540.80024442774,244773.729231898,256697.56460887374
461,251383.21779032043,191676.08703298075,271614.5433514735
462,250758.01386570823,182376.69565077324,288188.2912777679
463,193209.36004854436,296238.1577546966,260777.40805846534
464,231654.95397735527,143726.6033435983,101051.86242871903
465,252294.21551190264,207316.7994000129,162146.6804827649
466,145644.88370156754,200834.39128387827,156453.1488806521
467,223545.1790346069,202466.08637030327,215127.39196725574
468,285266.84242252173,96895.08191857729,264074.60714610753
469,188955.5392465825,234405.07134123208,184608.95915704334
470,295802.8619387164,194380.5369114549,301986.3752757884
471,234198.30656090187,273891.03779220075,216117.0848702589
472,306830.3423605993,192624.1612153062,236439.7417032079
473,166126.37742995733,380474.47379274695,195675.64089248187
474,92782.59984449937,177477.79440396762,189049.91811162888
475,190323.43548097886,192560.55259276845,355667.4408421611
476,254296.05812683006,153481.20138730857,205940.2514367581
477,282529.49809562345,283389.0668094693,70411.81905280985
478,354961.38402387494,114981.53032108964,223353.79931929713
479,195539.71285796713,294141.3352407685,427583.5466158902
480,220861.35917177855,268398.3441726226,262228.76833459036
481,192366.74393771816,146117.97716980253,182400.5721623383
482,311608.3490275204,131597.08584717856,205601.9494706334
483,241823.95351179998,339068.5552256212,294177.3040459519
484,177625.64183559432,259547.51995001052,140488.0911154034
485,417458.9109464572,290041.8323247967,154291.07898312667
486,282042.92681935674,164365.17875098568,188913.98943085183
487,292974.3890186705,155070.06634048378,254666.30354477235
488,196156.2868801776,287956.9732924543,171893.35332473853
489,223820.30094245262,337692.2316670067,329232.8850693498
490,290385.499029452,102261.95956389973,93700.3800348258
491,341541.0893518892,340650.2169528524,177111.67541742895
492,166038.27917693503,463241.0163927822,160130.90602284714
493,183405.70283943554,154710.3863059859,120919.0019507595
494,143045.0370862929,198472.64179044508,167603.93019622337
495,224627.0050191176,164363.7777428205,239773.72682670347
496,187058.6196427978,265975.5363005361,394726.63999387925
497,320924.94405885926,329748.5919831535,225546.95165514405
498,327459.18190157565,201693.13793974117,221390.63064094004
499,306073.5982964868,246465.46531829023,159815.50936529282
