time	Core_1,1	Core_1,2
0.29	46.0398	45.071
0.2905	46.0398	45.0711
0.291	46.0398	45.0711
0.2915	46.0399	45.0711
0.292	46.0399	45.0711
0.2925	46.0399	45.0711
0.293	46.0399	45.0711
0.2935	46.04	45.0712
0.294	46.04	45.0712
0.2945	46.04	45.0712
0.295	46.04	45.0712
0.2955	46.04	45.0712
0.296	46.0401	45.0713
0.2965	46.0401	45.0713
0.297	46.0401	45.0713
0.2975	46.0401	45.0713
0.298	46.0402	45.0713
0.2985	46.0402	45.0714
0.299	46.0402	45.0714
0.2995	46.0402	45.0714
0.3	46.0402	45.0714
0.3005	45.6472	45.0702
0.301	45.4533	45.0681
0.3015	45.3476	45.0662
0.302	45.2839	45.0643
0.3025	45.2414	45.0626
0.303	45.2107	45.0609
0.3035	45.1873	45.0593
0.304	45.1687	45.0577
0.3045	45.1536	45.0562
0.305	45.1411	45.0548
0.3055	45.1308	45.0535
0.306	45.1222	45.0523
0.3065	45.1149	45.0511
0.307	45.1088	45.0501
0.3075	45.1035	45.0491
0.308	45.099	45.0483
0.3085	45.095	45.0475
0.309	45.0916	45.0467
0.3095	45.0886	45.0461
0.31	45.0859	45.0454
0.3105	45.0836	45.0449
0.311	45.0814	45.0443
0.3115	45.0795	45.0438
0.312	45.0777	45.0434
0.3125	45.076	45.0429
0.313	45.0745	45.0425
0.3135	45.073	45.0421
0.314	45.0717	45.0417
0.3145	45.0704	45.0414
0.315	45.0692	45.041
0.3155	45.068	45.0407
0.316	45.0669	45.0403
0.3165	45.0658	45.04
0.317	45.0648	45.0397
0.3175	45.0638	45.0394
0.318	45.0628	45.039
0.3185	45.0619	45.0387
0.319	45.061	45.0384
0.3195	45.0601	45.0381
0.32	45.0592	45.0378
0.3205	45.0584	45.0376
0.321	45.0575	45.0373
0.3215	45.0567	45.037
0.322	45.056	45.0367
0.3225	45.0552	45.0364
0.323	45.0544	45.0361
0.3235	45.0537	45.0359
0.324	45.053	45.0356
0.3245	45.0523	45.0353
0.325	45.0516	45.035
0.3255	45.0509	45.0348
0.326	45.0502	45.0345
0.3265	45.0496	45.0342
0.327	45.049	45.034
0.3275	45.0483	45.0337
0.328	45.0477	45.0334
0.3285	45.0471	45.0332
0.329	45.0465	45.0329
0.3295	45.046	45.0327
0.33	45.0454	45.0324
0.3305	45.8311	45.0347
0.331	46.2183	45.0385
0.3315	46.4292	45.0423
0.332	46.5562	45.0457
0.3325	46.6407	45.049
0.333	46.7015	45.0522
0.3335	46.748	45.0552
0.334	46.7848	45.0582
0.3345	46.8145	45.061
0.335	46.8389	45.0636
0.3355	46.8592	45.066
0.336	46.876	45.0683
0.3365	46.8902	45.0704
0.337	46.9021	45.0723
0.3375	46.9123	45.074
0.338	46.921	45.0755
0.3385	46.9284	45.077
0.339	46.9349	45.0782
0.3395	46.9406	45.0794
0.34	46.9456	45.0805
0.3405	46.95	45.0815
0.341	46.954	45.0823
0.3415	46.9576	45.0832
0.342	46.9608	45.0839
0.3425	46.9638	45.0847
0.343	46.9666	45.0853
0.3435	46.9692	45.086
0.344	46.9716	45.0866
0.3445	46.9739	45.0872
0.345	46.9761	45.0877
0.3455	46.9781	45.0883
0.346	46.9801	45.0888
0.3465	46.982	45.0893
0.347	46.9838	45.0898
0.3475	46.9855	45.0903
0.348	46.9872	45.0908
0.3485	46.9889	45.0912
0.349	46.9905	45.0917
0.3495	46.992	45.0921
0.35	46.9935	45.0926
0.3505	46.995	45.0931
0.351	46.9964	45.0935
0.3515	46.9978	45.094
0.352	46.9992	45.0944
0.3525	47.0005	45.0948
0.353	47.0018	45.0953
0.3535	47.0031	45.0957
0.354	47.0044	45.0961
0.3545	47.0056	45.0966
0.355	47.0068	45.097
0.3555	47.008	45.0974
0.356	47.0091	45.0979
0.3565	47.0102	45.0983
0.357	47.0114	45.0987
0.3575	47.0124	45.0991
0.358	47.0135	45.0996
0.3585	47.0145	45.1
0.359	47.0156	45.1004
0.3595	47.0166	45.1008
0.36	47.0176	45.1012
0.3605	47.0185	45.1016
0.361	47.0195	45.102
0.3615	47.0204	45.1024
0.362	47.0213	45.1028
0.3625	47.0222	45.1032
0.363	47.0231	45.1036
0.3635	47.024	45.104
0.364	47.0248	45.1044
0.3645	47.0256	45.1048
0.365	47.0264	45.1052
0.3655	47.0273	45.1056
0.366	47.028	45.1059
0.3665	47.0288	45.1063
0.367	47.0296	45.1067
0.3675	47.0303	45.1071
0.368	47.031	45.1074
0.3685	47.0318	45.1078
0.369	47.0325	45.1082
0.3695	47.0332	45.1085
0.37	47.0338	45.1089
0.3705	47.0345	45.1092
0.371	47.0352	45.1096
0.3715	47.0358	45.1099
0.372	47.0364	45.1103
0.3725	47.0371	45.1106
0.373	47.0377	45.1109
0.3735	47.0383	45.1113
0.374	47.0389	45.1116
0.3745	47.0394	45.1119
0.375	47.04	45.1123
0.3755	47.0406	45.1126
0.376	47.0411	45.1129
0.3765	47.0417	45.1132
0.377	47.0422	45.1135
0.3775	47.0427	45.1139
0.378	47.0432	45.1142
0.3785	47.0437	45.1145
0.379	47.0442	45.1148
0.3795	47.0447	45.1151
0.38	47.0452	45.1154
0.3805	47.0457	45.1157
0.381	47.0461	45.1159
0.3815	47.0466	45.1162
0.382	47.047	45.1165
0.3825	47.0475	45.1168
0.383	47.0479	45.1171
0.3835	47.0483	45.1174
0.384	47.0488	45.1176
0.3845	47.0492	45.1179
0.385	47.0496	45.1182
0.3855	47.05	45.1184
0.386	47.0504	45.1187
0.3865	47.0508	45.119
0.387	47.0511	45.1192
0.3875	47.0515	45.1195
0.388	47.0519	45.1197
0.3885	47.0522	45.12
0.389	47.0526	45.1202
0.3895	47.0529	45.1205
0.39	47.0533	45.1207
0.3905	47.0536	45.1209
0.391	47.054	45.1212
0.3915	47.0543	45.1214
0.392	47.0546	45.1216
0.3925	47.0549	45.1219
0.393	47.0553	45.1221
0.3935	47.0556	45.1223
0.394	47.0559	45.1225
0.3945	47.0562	45.1227
0.395	47.0565	45.123
0.3955	47.0568	45.1232
0.396	47.0571	45.1234
0.3965	47.0573	45.1236
0.397	47.0576	45.1238
0.3975	47.0579	45.124
0.398	47.0582	45.1242
0.3985	47.0584	45.1244
0.399	47.0587	45.1246
0.3995	47.059	45.1248
0.4	47.0592	45.125
0.4005	47.0595	45.1252
0.401	47.0597	45.1254
0.4015	47.06	45.1256
0.402	47.0602	45.1258
0.4025	47.0604	45.1259
0.403	47.0607	45.1261
0.4035	47.0609	45.1263
0.404	47.0611	45.1265
0.4045	47.0614	45.1267
0.405	47.0616	45.1268
0.4055	47.0618	45.127
0.406	47.062	45.1272
0.4065	47.0622	45.1273
0.407	47.0625	45.1275
0.4075	47.0627	45.1277
0.408	47.0629	45.1278
0.4085	47.0631	45.128
0.409	47.0633	45.1282
0.4095	47.0635	45.1283
0.41	47.0637	45.1285
0.4105	47.0639	45.1286
0.411	47.064	45.1288
0.4115	47.0642	45.1289
0.412	47.0644	45.1291
0.4125	47.0646	45.1292
0.413	47.0648	45.1294
0.4135	47.065	45.1295
0.414	47.0651	45.1297
0.4145	47.0653	45.1298
0.415	47.0655	45.1299
0.4155	47.0656	45.1301
0.416	47.0658	45.1302
0.4165	47.066	45.1304
0.417	47.0661	45.1305
0.4175	47.0663	45.1306
0.418	47.0665	45.1308
0.4185	47.0666	45.1309
0.419	47.0668	45.131
0.4195	47.0669	45.1311
0.42	47.0671	45.1313
0.4205	47.0672	45.1314
0.421	47.0674	45.1315
0.4215	47.0675	45.1316
0.422	47.0677	45.1318
0.4225	47.0678	45.1319
0.423	47.0679	45.132
0.4235	47.0681	45.1321
0.424	47.0682	45.1322
0.4245	47.0684	45.1324
0.425	47.0685	45.1325
0.4255	47.0686	45.1326
0.426	47.0688	45.1327
0.4265	47.0689	45.1328
0.427	47.069	45.1329
0.4275	47.0691	45.133
0.428	47.0693	45.1331
0.4285	47.0694	45.1332
0.429	47.0695	45.1333
0.4295	47.0696	45.1334
0.43	47.0698	45.1336
0.4305	47.3558	45.1346
0.431	47.4969	45.1362
0.4315	47.5739	45.1377
0.432	47.6204	45.1392
0.4325	47.6514	45.1405
0.433	47.6739	45.1419
0.4335	47.6911	45.1432
0.434	47.7047	45.1444
0.4345	47.7158	45.1456
0.435	47.725	45.1468
0.4355	47.7326	45.1478
0.436	47.739	45.1488
0.4365	47.7444	45.1498
0.437	47.749	45.1506
0.4375	47.753	45.1514
0.438	47.7564	45.1521
0.4385	47.7593	45.1528
0.439	47.762	45.1535
0.4395	47.7643	45.1541
0.44	47.7663	45.1546
0.4405	47.7682	45.1551
0.441	47.7698	45.1556
0.4415	47.7714	45.1561
0.442	47.7728	45.1565
0.4425	47.7741	45.1569
0.443	47.7753	45.1573
0.4435	47.7765	45.1577
0.444	47.7776	45.1581
0.4445	47.7786	45.1584
0.445	47.7796	45.1588
0.4455	47.7806	45.1591
0.446	47.7815	45.1595
0.4465	47.7824	45.1598
0.447	47.7832	45.1601
0.4475	47.7841	45.1605
0.448	47.7849	45.1608
0.4485	47.7857	45.1611
0.449	47.7864	45.1614
0.4495	47.7872	45.1617
0.45	47.7879	45.162
0.4505	47.7886	45.1623
0.451	47.7893	45.1626
0.4515	47.79	45.1629
0.452	47.7907	45.1632
0.4525	47.7913	45.1635
0.453	47.792	45.1638
0.4535	47.7926	45.164
0.454	47.7932	45.1643
0.4545	47.7938	45.1646
0.455	47.7944	45.1649
0.4555	47.795	45.1652
0.456	47.7956	45.1654
0.4565	47.7961	45.1657
0.457	47.7967	45.166
0.4575	47.7973	45.1663
0.458	47.7978	45.1665
0.4585	47.7983	45.1668
0.459	47.7988	45.1671
0.4595	47.7993	45.1673
0.46	47.7998	45.1676
0.4605	47.8003	45.1678
0.461	47.8008	45.1681
0.4615	47.8013	45.1684
0.462	47.8018	45.1686
0.4625	47.8022	45.1689
0.463	47.8027	45.1691
0.4635	47.8031	45.1694
0.464	47.8036	45.1696
0.4645	47.804	45.1699
0.465	47.8044	45.1701
0.4655	47.8048	45.1703
0.466	47.8052	45.1706
0.4665	47.8056	45.1708
0.467	47.806	45.1711
0.4675	47.8064	45.1713
0.468	47.8068	45.1715
0.4685	47.8072	45.1718
0.469	47.8076	45.172
0.4695	47.8079	45.1722
0.47	47.8083	45.1724
0.4705	47.8086	45.1727
0.471	47.809	45.1729
0.4715	47.8093	45.1731
0.472	47.8097	45.1733
0.4725	47.81	45.1735
0.473	47.8103	45.1737
0.4735	47.8107	45.1739
0.474	47.811	45.1742
0.4745	47.8113	45.1744
0.475	47.8116	45.1746
0.4755	47.8119	45.1748
0.476	47.8122	45.175
0.4765	47.8125	45.1752
0.477	47.8128	45.1754
0.4775	47.8131	45.1756
0.478	47.8134	45.1758
0.4785	47.8137	45.176
0.479	47.8139	45.1761
0.4795	47.8142	45.1763
0.48	47.8145	45.1765
0.4805	47.8148	45.1767
0.481	47.815	45.1769
0.4815	47.8153	45.1771
0.482	47.8155	45.1773
0.4825	47.8158	45.1774
